video_id,frame_idx,anomaly
train_normal_00,0,0
train_normal_00,1,0
train_normal_00,2,0
train_normal_00,3,0
train_normal_00,4,0
train_normal_00,5,0
train_normal_00,6,0
train_normal_00,7,0
train_normal_00,8,0
train_normal_00,9,0
train_normal_00,10,0
train_normal_00,11,0
train_normal_00,12,0
train_normal_00,13,0
train_normal_00,14,0
train_normal_00,15,0
train_normal_00,16,0
train_normal_00,17,0
train_normal_00,18,0
train_normal_00,19,0
train_normal_00,20,0
train_normal_00,21,0
train_normal_00,22,0
train_normal_00,23,0
train_normal_00,24,0
train_normal_00,25,0
train_normal_00,26,0
train_normal_00,27,0
train_normal_00,28,0
train_normal_00,29,0
train_normal_00,30,0
train_normal_00,31,0
train_normal_00,32,0
train_normal_00,33,0
train_normal_00,34,0
train_normal_00,35,0
train_normal_00,36,0
train_normal_00,37,0
train_normal_00,38,0
train_normal_00,39,0
train_normal_01,0,0
train_normal_01,1,0
train_normal_01,2,0
train_normal_01,3,0
train_normal_01,4,0
train_normal_01,5,0
train_normal_01,6,0
train_normal_01,7,0
train_normal_01,8,0
train_normal_01,9,0
train_normal_01,10,0
train_normal_01,11,0
train_normal_01,12,0
train_normal_01,13,0
train_normal_01,14,0
train_normal_01,15,0
train_normal_01,16,0
train_normal_01,17,0
train_normal_01,18,0
train_normal_01,19,0
train_normal_01,20,0
train_normal_01,21,0
train_normal_01,22,0
train_normal_01,23,0
train_normal_01,24,0
train_normal_01,25,0
train_normal_01,26,0
train_normal_01,27,0
train_normal_01,28,0
train_normal_01,29,0
train_normal_01,30,0
train_normal_01,31,0
train_normal_01,32,0
train_normal_01,33,0
train_normal_01,34,0
train_normal_01,35,0
train_normal_01,36,0
train_normal_01,37,0
train_normal_01,38,0
train_normal_01,39,0
train_normal_02,0,0
train_normal_02,1,0
train_normal_02,2,0
train_normal_02,3,0
train_normal_02,4,0
train_normal_02,5,0
train_normal_02,6,0
train_normal_02,7,0
train_normal_02,8,0
train_normal_02,9,0
train_normal_02,10,0
train_normal_02,11,0
train_normal_02,12,0
train_normal_02,13,0
train_normal_02,14,0
train_normal_02,15,0
train_normal_02,16,0
train_normal_02,17,0
train_normal_02,18,0
train_normal_02,19,0
train_normal_02,20,0
train_normal_02,21,0
train_normal_02,22,0
train_normal_02,23,0
train_normal_02,24,0
train_normal_02,25,0
train_normal_02,26,0
train_normal_02,27,0
train_normal_02,28,0
train_normal_02,29,0
train_normal_02,30,0
train_normal_02,31,0
train_normal_02,32,0
train_normal_02,33,0
train_normal_02,34,0
train_normal_02,35,0
train_normal_02,36,0
train_normal_02,37,0
train_normal_02,38,0
train_normal_02,39,0
train_normal_03,0,0
train_normal_03,1,0
train_normal_03,2,0
train_normal_03,3,0
train_normal_03,4,0
train_normal_03,5,0
train_normal_03,6,0
train_normal_03,7,0
train_normal_03,8,0
train_normal_03,9,0
train_normal_03,10,0
train_normal_03,11,0
train_normal_03,12,0
train_normal_03,13,0
train_normal_03,14,0
train_normal_03,15,0
train_normal_03,16,0
train_normal_03,17,0
train_normal_03,18,0
train_normal_03,19,0
train_normal_03,20,0
train_normal_03,21,0
train_normal_03,22,0
train_normal_03,23,0
train_normal_03,24,0
train_normal_03,25,0
train_normal_03,26,0
train_normal_03,27,0
train_normal_03,28,0
train_normal_03,29,0
train_normal_03,30,0
train_normal_03,31,0
train_normal_03,32,0
train_normal_03,33,0
train_normal_03,34,0
train_normal_03,35,0
train_normal_03,36,0
train_normal_03,37,0
train_normal_03,38,0
train_normal_03,39,0
test_normal_00,0,0
test_normal_00,1,0
test_normal_00,2,0
test_normal_00,3,0
test_normal_00,4,0
test_normal_00,5,0
test_normal_00,6,0
test_normal_00,7,0
test_normal_00,8,0
test_normal_00,9,0
test_normal_00,10,0
test_normal_00,11,0
test_normal_00,12,0
test_normal_00,13,0
test_normal_00,14,0
test_normal_00,15,0
test_normal_00,16,0
test_normal_00,17,0
test_normal_00,18,0
test_normal_00,19,0
test_normal_00,20,0
test_normal_00,21,0
test_normal_00,22,0
test_normal_00,23,0
test_normal_00,24,0
test_normal_00,25,0
test_normal_00,26,0
test_normal_00,27,0
test_normal_00,28,0
test_normal_00,29,0
test_normal_00,30,0
test_normal_00,31,0
test_normal_00,32,0
test_normal_00,33,0
test_normal_00,34,0
test_normal_00,35,0
test_normal_00,36,0
test_normal_00,37,0
test_normal_00,38,0
test_normal_00,39,0
test_normal_01,0,0
test_normal_01,1,0
test_normal_01,2,0
test_normal_01,3,0
test_normal_01,4,0
test_normal_01,5,0
test_normal_01,6,0
test_normal_01,7,0
test_normal_01,8,0
test_normal_01,9,0
test_normal_01,10,0
test_normal_01,11,0
test_normal_01,12,0
test_normal_01,13,0
test_normal_01,14,0
test_normal_01,15,0
test_normal_01,16,0
test_normal_01,17,0
test_normal_01,18,0
test_normal_01,19,0
test_normal_01,20,0
test_normal_01,21,0
test_normal_01,22,0
test_normal_01,23,0
test_normal_01,24,0
test_normal_01,25,0
test_normal_01,26,0
test_normal_01,27,0
test_normal_01,28,0
test_normal_01,29,0
test_normal_01,30,0
test_normal_01,31,0
test_normal_01,32,0
test_normal_01,33,0
test_normal_01,34,0
test_normal_01,35,0
test_normal_01,36,0
test_normal_01,37,0
test_normal_01,38,0
test_normal_01,39,0
test_anomaly_00,0,0
test_anomaly_00,1,0
test_anomaly_00,2,0
test_anomaly_00,3,0
test_anomaly_00,4,0
test_anomaly_00,5,0
test_anomaly_00,6,0
test_anomaly_00,7,0
test_anomaly_00,8,0
test_anomaly_00,9,0
test_anomaly_00,10,0
test_anomaly_00,11,1
test_anomaly_00,12,1
test_anomaly_00,13,1
test_anomaly_00,14,1
test_anomaly_00,15,1
test_anomaly_00,16,1
test_anomaly_00,17,1
test_anomaly_00,18,1
test_anomaly_00,19,1
test_anomaly_00,20,1
test_anomaly_00,21,1
test_anomaly_00,22,1
test_anomaly_00,23,1
test_anomaly_00,24,1
test_anomaly_00,25,1
test_anomaly_00,26,1
test_anomaly_00,27,1
test_anomaly_00,28,1
test_anomaly_00,29,1
test_anomaly_00,30,1
test_anomaly_00,31,1
test_anomaly_00,32,1
test_anomaly_00,33,1
test_anomaly_00,34,1
test_anomaly_00,35,1
test_anomaly_00,36,1
test_anomaly_00,37,1
test_anomaly_00,38,1
test_anomaly_00,39,1
test_anomaly_01,0,0
test_anomaly_01,1,0
test_anomaly_01,2,0
test_anomaly_01,3,0
test_anomaly_01,4,0
test_anomaly_01,5,0
test_anomaly_01,6,0
test_anomaly_01,7,0
test_anomaly_01,8,0
test_anomaly_01,9,0
test_anomaly_01,10,0
test_anomaly_01,11,1
test_anomaly_01,12,1
test_anomaly_01,13,1
test_anomaly_01,14,1
test_anomaly_01,15,1
test_anomaly_01,16,1
test_anomaly_01,17,1
test_anomaly_01,18,1
test_anomaly_01,19,1
test_anomaly_01,20,1
test_anomaly_01,21,1
test_anomaly_01,22,1
